delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,400,unexp,3,4,40,1,293.28020879998803,294.28042059997097,294.28042059997097,294.28042059997097,space,0.8208912997506559,295.5302980200155,,295.8301210999489,295.8301210999489,295.8301210999489,100,41,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.1,1000,exp,3,5,41,3,299.7633992000483,300.76338770007715,300.76338770007715,300.76338770007715,space,0.7397488998249173,301.6298421200132,,301.92970420001075,301.92970420001075,301.92970420001075,100,42,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.1,1000,exp,3,6,42,9,305.2795935999602,306.2792990000453,306.2792990000453,306.2792990000453,space,0.689352799905464,307.09605572002476,307.3963008001447,307.3963008001447,307.3963008001447,307.3963008001447,100,43,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.4,1000,exp,3,7,43,7,310.5793304000981,311.57939630001783,311.57939630001783,311.57939630001783,space,0.3100101000163704,312.3126179201296,,312.612684099935,312.612684099935,312.612684099935,100,44,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.4,1000,exp,3,8,44,10,319.47880839998834,320.4787677000277,320.4787677000277,320.4787677000277,space,0.3715985999442637,321.2790199199459,,321.57856049994007,321.57856049994007,321.57856049994007,100,45,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.1,1000,exp,3,9,45,6,324.32863819994964,325.3286836000625,325.3286836000625,325.3286836000625,space,0.2769785998389125,325.7286567199277,,326.0283983000554,326.0283983000554,326.0283983000554,100,46,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732, 2.5338450998533517]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247, 2.533852699911222]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.7,1000,exp,3,10,46,8,328.5617444999516,329.56180960009806,329.56180960009806,329.56180960009806,space,0.43096029991284013,330.7117855199846,,331.0116270999424,331.0116270999424,331.0116270999424,100,47,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732, 2.5338450998533517, 2.6988059000577778]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247, 2.533852699911222, 2.6988150998950005]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.1,400,unexp,3,11,47,0,333.71155340014957,334.7115551000461,334.7115551000461,334.7115551000461,space,0.43774309987202287,335.27821742000526,335.5777825000696,335.5777825000696,335.5777825000696,335.5777825000696,100,48,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732, 2.5338450998533517, 2.6988059000577778, 3.5343983999919146]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247, 2.533852699911222, 2.6988150998950005, 3.5344077998306602]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.7,400,unexp,4,0,48,2,339.1112983999774,340.1111322999932,340.1111322999932,340.1111322999932,space,0.3026181999593973,341.14426682007036,,341.44444670015946,341.44444670015946,341.44444670015946,700,49,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732, 2.5338450998533517, 2.6988059000577778, 3.5343983999919146, 3.2991710999049246]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247, 2.533852699911222, 2.6988150998950005, 3.5344077998306602, 3.2991794999688864]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
0.1,1000,exp,4,1,49,6,344.7441668000538,345.74414329999126,345.74414329999126,345.74414329999126,space,0.8260953999124467,346.6941396200797,,346.99412779998966,346.99412779998966,346.99412779998966,100,50,"[17.331252000061795, 3.615100499941036, 9.381968999980018, 8.032715700101107, 7.4647699999623, 4.150133900111541, 5.517208100063726, 3.4826122999656945, 3.9843218000605702, 5.94872420001775, 9.198385500116274, 2.6487351001705974, 3.199034499935806, 2.632444200105965, 3.1988899998832494, 5.650538200046867, 3.932604500092566, 3.34873399999924, 6.614921000087634, 2.415664399974048, 3.631351799936965, 2.633474500151351, 2.4003210000228137, 2.3660233998671174, 3.1487483999226242, 2.367383899865672, 2.982429899973795, 5.43289290019311, 8.482244800077751, 3.0317965000867844, 2.44939409988001, 3.3487595000769943, 3.3838659999892116, 2.5991109998431057, 2.69974509999156, 3.498591900104657, 3.365880599943921, 2.682385800173506, 3.6155161999631673, 2.3820958000142127, 3.932350100018084, 3.348129600053653, 3.1820322000421584, 6.865407100180164, 2.750822399975732, 2.5338450998533517, 2.6988059000577778, 3.5343983999919146, 3.2991710999049246, 4.482547800056636]","[17.33126200013794, 3.615108999889344, 9.38197709992528, 8.032724300166592, 7.464778100140393, 4.150142499944195, 5.517216499894857, 3.4826243999414146, 3.9843297998886555, 5.948732300195843, 9.19839350017719, 2.6487432001158595, 3.1990606000181288, 2.63245250005275, 3.198898399947211, 5.650546099990606, 3.9326136000454426, 3.3487421998288482, 6.6149294001515955, 2.41567280003801, 3.631360200000927, 2.6334834001027048, 2.4003290000837296, 2.3660315999295563, 3.1487571999896318, 2.367393499938771, 2.982437799917534, 5.432901400141418, 8.482253200141713, 3.0318046000320464, 2.4494024999439716, 3.3487678000237793, 3.3838745998218656, 2.5991187999024987, 2.6997539000585675, 3.498601899947971, 3.365888600004837, 2.6823937001172453, 3.615524500142783, 2.382103799842298, 3.932358300080523, 3.348137900000438, 3.1820406999904662, 6.865415300009772, 2.7508305001538247, 2.533852699911222, 2.6988150998950005, 3.5344077998306602, 3.2991794999688864, 4.4825557000003755]",060947,001,2022-11-10_19h31.09.380,intentional binding task,2022.2.3,59.96347025499182,
